nombre,nombre_corto,rol,dialogo,num_debate
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Tengo principios, tengo ideales, no soy un ambicioso vulgar. Yo no lucho por cargos, no lucho por ser Presidente, eso es un medio, no es un fin. Yo lo que busco es la transformación de nuestro país y estamos a punto de lograrlo, de lograr la cuarta transformación en la historia de México. De modo que no voy a fallarle a los mexicanos, no voy a traicionar a millones de mexicanos que están confiando en nosotros, pero les estoy dejando también como opción, como alternativa, en el caso de incumplimiento de mis compromisos, el que me voy a someter a la revocación del mandato, cada…",1
SERGIO SARMIENTO,NA,Moderador,"Se acabó este primer minuto pero tenemos todavía un minuto y medio adicional ya con preguntas. Dice que no lucha por cargos, candidato López Obrador, es la tercera vez que es candidato a la presidencia de la República. ¿No está luchando por ese cargo?",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No es el cargo, repito, es conducir un movimiento de millones de mexicanos: hombres, mujeres, libres, conscientes para transformar a México, soy el dirigente de ese movimiento. No es una elección más, es que las cosas de verdad cambien en el país. Y termino, me falta tiempo, me queda tiempo, diciendo que cada dos años me voy a someter a la revocación del mandato va a haber una consulta a los ciudadanos. ¿Quieres que sigue el presidente o que renuncie? En efecto el pueblo pone, el pueblo quita.Se necesita una reforma constitucional, voy a enviar esa iniciativa tan luego llegue a la presidencia para que se permita la revocación del mandato. Imaginen cuánto nos ahorraríamos si existiera la revocación del mandato, cuánto...",1
SERGIO SARMIENTO,NA,Moderador,"Candidato, ¿en caso de que usted perdiera la elección aceptaría haber sido Derrotado, aceptaría el resultado?",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Desde luego que sí, en la democracia también se gana o se pierde. Lo que buscamos nosotros es que no haya compra de votos, que no se falsifica en las actas, que no haya fraude electoral, porque los de la mafia del poder son muy mañosos, son especialistas en las trampas.",1
SERGIO SARMIENTO,NA,Moderador,"Candidatos López Obrador, se le acabó el tiempo, se lo agradezco. Pidieron replica el candidato Meade y el candidato Anaya, ninguno tiene ya derecho a réplica de manera que pasamos al siguiente segmento.",1
AZUCENA URESTI,NA,Moderador,"Gracias. Podemos discutirlo en este segmento, en donde les recuerdo que tienen dos minutos y medio en total, con intervenciones no mayores a un minuto.Veo que el tema de revocación de mandato está en la mente de algunos de ustedes. Jaime Rodríguez Calderón, ¿sería un mecanismo en caso de llegar a la presidencia?",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Creo que sí es algo que tenemos que explorar, hay que, como lo dijo Ricardo y hoy lo ratifica Andrés Manuel, tendríamos que ir a la iniciativa. Espero que los diputados, que serán evidentemente diputados de mayoría partidista, porque evidentemente hay muy pocos candidatos independientes al Congreso, lo aprueben, es una parte importante.Creo que el mal existe, y la raíz podrida del sistema político mexicano se llama partidocracia, y esto implica evidentemente que el ciudadano tenga también la concepción completa de que el verdadero origen de todos estos problemas, que es la corrupción, que es la inseguridad, que es la democracia, nace precisamente ahí y se sigue conservando.Ahorita que yo les ponía en su pódium este tema de regresar los recursos públicos, evidentemente esta y la corrupción también, porque todos ellos están gastando dinero, a excepción de Margarita y un servidor, de los mexicanos, y entonces como los mexicanos nos van a querer si estamos...",1
AZUCENA URESTI,NA,Moderador,"Muy bien, regresamos contigo, con usted en un momento. Vamos contigo, conocer Ricardo Anaya, adelante.",1
RICARDO ANAYA,Anaya,Candidato,"Muchas gracias, tengo propuestas muy concretas, respecto de lo que estaba diciendo en mi última intervención. Primero, una fiscalía especializada en investigar homicidios y violencia contra mujeres...",1
AZUCENA URESTI,NA,Moderador,"Pero déjeme preguntarle sobre la revocación de mandatopara poder terminar con este tema, si es tan amable.",1
RICARDO ANAYA,Anaya,Candidato,"Bueno, lo que pasa es que yo fui quien abrí el este tema, dijo con toda claridad que yo estoy de acuerdo legislado; Porque como vieron hasta adiviné las palabras de López Obrador, con eso de que: `el pueblo pone, el pueblo quita con consultas a mano alzada`, eso es peligrosísimo para una democracia.A favor, siempre y cuando se ha establecido un procedimiento en la ley y que se garantice que bajo ninguna circunstancia habrá reelección del presidente de la República.",1
AZUCENA URESTI,NA,Moderador,"Bien, déjame escuchar a José Antonio Meade, ha solicitado…",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Para otro tema ¡eh! Si quieres espero, y aquí me pronuncio por el amor de dios, no, si ya de por sí la elección nos tiene, creo, a todo el mundo cansado de estar escuchando a los políticos, la verdad es que volvernos escuchar cada dos años le da el país poca certidumbre, y poca capacidad de planear.",1
AZUCENA URESTI,NA,Moderador,Margarita Zavala.,1
MARGARITA ZAVALA,Zavala,Candidato,"El problema de la democracia no es si hay o no de revocación, es si los beneficios llegaron a todos. Si los beneficios le llegó a las comunidades indígenas, si el beneficio le llegó a los campesinos, y el beneficio le llegó a los inmigrantes, si el beneficio le llegó a los jornaleros, si el beneficio le llegó a lo que trata este segmento de grupos en condiciones de vulnerabilidad; por eso yo estoy a favor, sobre todo de políticas públicas hacia esos sectores.",1
AZUCENA URESTI,NA,Moderador,"Déjeme preguntarle si el 2 de diciembre de 2012, todas las fuerzas políticas, todas, convergieron en torno al presidente Enrique Peña Nieto, para firmar un pacto, el `Pacto por México`. ¿Cuál es su visión para el 2 de diciembre de 2018? ¿Se sumarían a un nuevo pacto independientemente de quien gane la presidencia e independientemente de sus diferencias? Jaime Rodríguez Calderón.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Claro, el que ganó, ganó, y el resto nos tenemos que sumar. México es más importante que cualquiera de nosotros, hay que apoyar precisamente eso, pero fíjate, ahí te va, hay que presentar una iniciativa para... Y aquí, les hacemos una pregunta otra vez ¿están de acuerdo en la segunda vuelta?",1
MARGARITA ZAVALA,Zavala,Candidato,"Sí claro, yo sí.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien, pues estamos de acuerdo en la segunda vuelta eso va a facilitar, no se quien se haya opuesto pero eso facilitará para que México avance de una mejor manera.Hoy ninguno de los que estamos aquí logrará 15 millones de votos, aunque Andrés Manuel diga que tiene 40% de la posibilidad, dudo que lo logré, y eso no le va a permitir gobernar, va a estar en una ingobernabilidad y entonces esto se puede convertir en un caos, creo que tenemos que estar conscientes que tenemos que ir a respetar al elector, y cualquiera que fuera el resultado tenemos que sumarnos a aquel que gana y a aquel que tiene la posibilidad de convencer a un mayor número de personas.Quiero precisar también, como dice Margarita, si nosotros utilizamos el dinero, los 12 mil millones de pesos...",1
AZUCENA URESTI,NA,Moderador,"Vamos a regresar con usted, si le parece en esta segunda parte. Candidato López Obrador.",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, nada más una precisión, nosotros no firmamos el llamado Pacto por México, porque consideramos que fue un pacto contra México, ahí fue donde se aprobaron las reformas estructurales, ahí se aprobó el aumento de los impuestos, la privatización del petróleo que terminó en el aumento al precio de las gasolinas `el gasolinazo`, y otras reformas contrarias al interés popular.Nosotros sí vamos a convocar, ya lo estamos haciendo, a todo el pueblo de México a un acuerdo para poner por delante la honestidad, la honestidad como una forma de vida y como forma de gobierno para desterrar la corrupción.",1
AZUCENA URESTI,NA,Moderador,Ricardo Anaya.,1
RICARDO ANAYA,Anaya,Candidato,"Yo nunca he coincidido con tu visión de la economía Andrés Manuel, ni con tu estilo autoritario de ejercer el poder, pero te respetaba porque eras un auténtico opositor al sistema, pero ya ni eso, pactaste con Elba Esther Gordillo, pactaste con Napoleón Gómez Urrutia, ya ofreciste anticipadamente perdón y amnistía, hay vídeos lo que estoy diciendo, a Carlos Salinas de Gortari y al propio Enrique Peña Nieto.Yo no sé si es tu obsesión por el poder o el cansancio, pero debes explicar por qué cambiaste Andrés Manuel.",1
AZUCENA URESTI,NA,Moderador,¿Quieres responder Andrés Manuel? Candidato López Obrador.,1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Pues yo lo que estoy planteando, es acabar con la corrupción, la impunidad y estoy yendo hacia delante, yo no voy a permitir corrupción de nadie, lo puedo resumir en una frase, `al margen de la ley nada, por encima de la ley nadie`, pero no es mi fuerte la venganza, yo lo que quiero es que hay un auténtico Estado de derecho y que haya justicia en el país.",1
AZUCENA URESTI,NA,Moderador,Candidato José Antonio Meade y después fue con Ricardo Anaya.,1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Vale la pena, y yo creo que aquí se explica cómo somos como políticos, en los últimos 20 años al país le ha pasado de todo, y en algún momento u otro, todos los políticos han aportado su voz para ayudar, todos menos uno.Y en 20 años Andrés Manuel no aportado su voz en favor de ninguna causa, en los últimos 20 años Andrés Manuel ha caminado para dividir, en los últimos 20 años si Andrés Manuel se hubiera desmayado, en vez de volver en sí, hubiera vuelto en no.No le ha apostado a que este país avance, a que este país camine, le ha apostado a dividir. Y sí Andrés Manuel, si eres ambicioso, no hay manera de entender los pactos con los criminales, tus pactos con los corruptos, y tus pactos con los violentos y no se explica por la ambición desmedida, y el miedo a volver a perder.",1
AZUCENA URESTI,NA,Moderador,Candidato López Obrador.,1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sinceramente, Meade, está en una situación bastante difícil porque tiene todo el apoyo del gobierno, no ha levantado y está queriendo avanzar con calumnias. Aprovecho de una vez para decirle que no tengo tres departamentos a mi nombre, si existiesen esos tres departamentos a mi nombre se los regalo al señor Meade.Anaya, también voy a aprovechar para contestarle una vez, porque no no me voy a quedar sin responder de que el Fobaproa lo aprobaron el PRI y el PAN, el PRIAN, que siempre ha existido. Ahora me llama mucho la atención de que estén peleándose, en aquel tiempo…",1
AZUCENA URESTI,NA,Moderador,"Se acabó su tiempo candidato, pero candidato Anaya, directamente aludido…",1
RICARDO ANAYA,Anaya,Candidato,"Uno, sí o no Andrés Manuel, tu candidato a senador asignado directamente por ti en el estado de Nayarit aprobó ese Fobaproa, que tú alegas es el peor fraude en la historia del México independiente, quiero que respondas porque has venido. Actitud de amor y paz y no respondes absolutamente nada.Segundo, si estás obsesionado, mira después de la matanza de estudiantes de 1968, y después de la matanza del jueves de Corpus del 71, ¿a qué partido decidiste afiliarte? Al PRI, porque ahí estaba el poder, fuiste presidente del PRI en el estado de Tabasco, Carlos Salinas de Gortari es el jefe de la mafia del poder, pero en qué partido militabas tú cuando ese candidato a Presidente de la República, en el 88, en el PRI.El gran fraude electoral, contra la democracia, quien lo orquestó fue el entonces Secretario de Gobernación...",1
AZUCENA URESTI,NA,Moderador,"Regresamos con usted en un momento candidato, se acabó su minuto de intervención, le queda todavía algo de tiempo.Candidato Zavala.",1
MARGARITA ZAVALA,Zavala,Candidato,"Mira, la verdad es que realmente diría que la unidad demócrata, yo estuve luchando por la democracia de mi país toda mi vida, por eso sé ganar, sé perder, que esas parte básica de la democracia. La verdad es que yo siempre fui demócrata, lo traigo conmigo, lo he sido siempre, ¡y bueno!, creo que todos ellos han estado en el PRI o tienen actitudes priistas. Yo creo en la democracia y por cierto, quizás sea este pleito porque faltan mujeres en la política y en un momento les voy a pedir la palabra para hablar de las mujeres.",1
AZUCENA URESTI,NA,Moderador,Candidato José Antonio Meade: en la intervención anterior el candidato López Obrador lanzaba una pregunta para usted.,1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Bueno, me ofrecía tres departamentos que yo le agradezco.El Registro Público de la Propiedad es el instrumento en el cual podemos verificar quién es el dueño de las cosas y en el Registro Público de la Propiedad aparecen tres departamentos a su nombre, uno de ellos probablemente ya se ha dado de baja, pero los otros dos todavía durante el mes de abril ahí estaban: ¡se lo agradezco mucho, Andrés Manuel!El problema profundo del país es la desigualdad y lo que necesitamos es un Gobierno a la medida de cada quien: un Gobierno que trabaje con cada familia, que la visite, que esté en su casa, que dialogue con ellos y que les resuelva; un Gobierno que identifique cuándo hace falta una beca, cuándo una atención de salud, cuándo un apoyo de vivienda, cuándo una atención de seguridad.El problema de México es un problema de desigualdad: nosotros lo vamos a enfrentar con cada familia: trabajando, dialogando, escuchando, atendiendo y resolviendo.",1
AZUCENA URESTI,NA,Moderador,"Gracias, candidato.¿Candidato Ricardo Anaya? Reserva su tiempo.Candidata Margarita Zavala: ¿usted estaría de acuerdo con la revocación de mandato?",1
MARGARITA ZAVALA,Zavala,Candidato,"No. En realidad, a mí me parece namás una artimaña para gastar mucho dinero y tener un tema clientelar. La verdad es que por instituciones, por leyes y por una democracia creíble, que le dé resultados a la gente, con esto tendríamos; cada tres años tenemos elecciones.",1
AZUCENA URESTI,NA,Moderador,¿Ustedes se tendrían que hacer cargo del desencanto de la democracia? ¿Cuál es la responsabilidad de ustedes?,1
MARGARITA ZAVALA,Zavala,Candidato,"Por supuesto que yo me encargo del desencanto de la democracia, he sido una demócrata, no he anulado los… Por eso, por eso para mí ha sido importante que un partido político pues como el PAN tuviera… tuviera los mecanismos democráticos, no los tuvo, es que a nuestro país le está faltando demócratas, que piensen justamente en todos estos grupos en situación de vulnerabilidad de los indígenas, de las personas con discapacidad, de los migrantes que les podamos decir: `¡Cree en la política otra vez!`, porque han sido descartados del sistema de educación, del sistema económico, del sistema político y social y yo estoy en ello y nos faltan mujeres.",1
AZUCENA URESTI,NA,Moderador,Candidato Anaya: ¿quiere decir algo a la candidata Margarita Zavala?,1
RICARDO ANAYA,Anaya,Candidato,"No, muchas gracias.",1
AZUCENA URESTI,NA,Moderador,¿Nada?Candidata…,1
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, yo sí quiero dirigirme a las mujeres: yo sé lo que es que te quiten el nombre, yo sé que es… lo que es abrirse paso. Yo voy a acompañar a todas las mujeres, a las que ya se abrieron paso las voy a apoyar, pero a las que no se han abierto paso vamos a hacer un camino para que todas quepamos. Por eso yo les voy… les digo claramente: yo tendré el mejor proyecto en favor de las mujeres.",1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidata!El candidato José Antonio Meade, el candidato Ricardo Anaya y el candidato Jaime Rodríguez Calderón tienen algo de tiempo, ¿quién quiere hacer el uso de la palabra para cerrar este bloque?Candidato Meade…",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"En este esfuerzo de avanzar contigo quiero decir básicamente que cumplamos lo que dice la Constitución: que en México tengamos acceso a nuestros derechos y eso quiere decir que en la siguiente administración trabajaremos para que ninguna niña, ningún niño nazca en pobreza extrema.Trabajaremos para que el trabajo doméstico tenga Seguridad Social; trabajaremos para que las mujeres tengan crédito a la palabra; trabajaremos para asegurar que en México no haya ninguna tolerancia al que le falte al respeto a una mujer.",1
AZUCENA URESTI,NA,Moderador,"Gracias, candidato.¿Candidato Anaya, candidato Rodríguez Calderón?",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,¿Echamos un volado o qué?,1
RICARDO ANAYA,Anaya,Candidato,¡Después de usted!,1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,¡Bien!,1
AZUCENA URESTI,NA,Moderador,"¡Adelante, candidato!",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"12 mil millones de pesos que si aquí los candidatos están de acuerdo, regresárselo a los mexicanos en la iniciativa que presentaremos para que ya no tengan los partidos políticos dinero, que cada quien se rasque con sus propias uñas, serán destinados precisamente a toda la zona indígena del país que lo merece, que no les hemos dado gran cosa; que le podamos quitar a los migrantes mexicanos toda esa ambición que tienen los partidos políticos porque les deberíamos de hacer un monumento: están trabajando en el otro lado y luego cuando vienen para acá nos los fregamos con .",1
AZUCENA URESTI,NA,Moderador,"¡Gracias! Gracias, candidato.¿Anaya?",1
RICARDO ANAYA,Anaya,Candidato,"Sí. Concluyo la idea de hace rato: este señor, Manuel Bartlett, es el autor del fraude electoral del 88, ¿dónde está hoy Manuel Bartlett?: ¡en Morena!, es el coordinador de los senadores, ¡es una farsa tu historia, Andrés Manuel!",1
AZUCENA URESTI,NA,Moderador,"Gracias, candidato.Llegamos al segmento final: cada uno de ustedes tendrá un minuto para hacer una última intervención. Iniciamos con usted, candidato Jaime Rodríguez Calderón.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Si tenemos en este país una parte importante de desatención; si tenemos en este país una parte muy importante en el tema de inseguridad; si tenemos en este país partidos políticos que le han fallado a los mexicanos, es tiempo ya de cambiar y correr a todos los flojos, decía yo , del Gobierno, que tengamos que sacar a los partidos políticos que es el verdadero cáncer de México. Con eso, por sí solo, México será grandioso.Si nosotros hacemos que las cosas se den y si escuchamos a la gente a través de la red social, si el Presidente de México contesta los WhatsApp, si el Presidente de México se entera de lo que sucede en la escuela y qué sucede en la carretera, en el barrio, en todos los temas, México será grandioso.Yo le ofrezco al mexicano eso: vamos a correr a los partidos políticos, jubilarlos para que se vayan a su casa, ¡pero sin pensión! Y aquí Andrés Manuel también tendrá que dejar su pensión que ha tenido por muchos años. Eso es lo que yo quiero para México.",1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidato!Candidata Margarita Zavala…",1
MARGARITA ZAVALA,Zavala,Candidato,"Yo tengo claro los valores por los que estoy aquí: la libertad, la honestidad y la justicia y te pido a ti que no te conformes, que no te conformes con el mal menor cuando hay un bien posible, que no te conformes con el menos malo, con el menos corrupto o con el menos autoritario; que no te conformes con votar por miedo o por venganza o por desilusión: ¡tú te mereces más, mucho más!Quiero que traigas a la mente a tus hijos o a tus papás o a la gente que más quieras y decide por ello, decide por lo que quieras, por tus sueños y no por tus miedos.Miren: uno da la vida sólo por lo que ama y yo, como tú, amo profundamente a México y sé que con tu voto y con tu confianza vamos a cambiar juntos este país; sé que con tu voto y tu confianza yo seré la primera Presidenta de México.",1
AZUCENA URESTI,NA,Moderador,"Gracias, candidata.Su turno, candidato Ricardo Anaya…",1
RICARDO ANAYA,Anaya,Candidato,"Muy buenas noches: esta no es una elección más, está en juego el futuro de toda una generación. Con muchísimo respeto a las demás candidaturas, pero con una fuerte dosis de realismo, nuestra coalición es la única que le puede ganar a López Obrador y esta no es una contienda entre dos personas, es una contienda entre dos visiones de país.Te invito a que lo hagamos juntos: los jóvenes con su potencia, los adultos con su experiencia, los niños con su alegría, en este proyecto cabemos todos; construyamos juntos la casa común, el México en el que todos cabemos, con un piso de bienestar para que detenga la caída de los débiles, un techo de legalidad que evite la fuga de los poderosos y cuatro paredes de cohesión social que nos permitan vivir en armonía y con felicidad.Cuando la esperanza se vuelve invencible, la victoria final está asegurada, ¡lo podemos lograr!",1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidato!Andrés Manuel López Obrador…",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Mexicanas, mexicanos: estamos viviendo un momento estelar. Sólo han habido en nuestra historia tres grandes transformaciones: la Independencia, la Reforma, la Revolución y nosotros estamos a punto de lograr la cuarta transformación de la vida pública de México y lo vamos a lograr de manera pacífica, sin violencia y va a ser para bien de todos los mexicanos.Se va a tener como no ha sucedido en los últimos tiempos, un Gobierno que represente a pobres y a ricos; el Gobierno dejará de estar al servicio de una minoría rapaz.¡No les fallaré! Quiero seguir el ejemplo de Benito Juárez, de Francisco I. Madero y del general Lázaro Cárdenas. ¡Viva México!",1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidato!Candidato José Antonio Meade: su turno.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Soy José Antonio Meade: soy un mexicano honesto, preparado, capaz, con experiencia y con profundo amor a México.Quiero hacer equipo contigo, apoyarte para que alcances tus sueños y tus metas. Quiero hacer equipo con quienes le apuestan al esfuerzo para salir adelante, con los que quieren dejar a sus hijos algo más de lo que recibieron de sus padres. Seré el Presidente de los mexicanos que nunca vamos a dejar que alguien más defina su destino por nosotros, quienes valoramos la seguridad, la confianza, la certeza y la estabilidad.Creo en un México unido, en un México próspero, en un México que avanza, en un México que se convierte en potencia, en un México incluyente. Vota por una alternativa honesta. El voto sólo le es útil a México si es para un mexicano honesto, ¡vamos por México!",1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidato!Hemos llegado al final del Primer Debate Presidencial 2018. El Instituto Nacional Electoral agradece a la Universidad Nacional Autónoma de México, a sus autoridades y al personal del Palacio de Minería por su colaboración y ante todo a ustedes por habernos acompañado.Confiamos en que este ejercicio sirva para que el uno de julio emitamos un voto informado. De igual manera les extendemos cordialmente la invitación para que sigan el Segundo Debate Presidencial el próximo 20 de mayo a las nueve y media de la noche, tiempo del centro, en Tijuana, Baja California.Desde luego gracias a la y los candidatos por su disposición en este debate y esperamos verlo en Tijuana.Mis compañeros Denise Maerker y Sergio Sarmiento…",1
DENISE MAERKER,NA,Moderador,¡Gracias!,1
AZUCENA URESTI,NA,Moderador,"… y yo les damos las gracias por habernos acompañado: ¡gracias, compañeros!",1
DENISE MAERKER,NA,Moderador,¡Gracias!,1
AZUCENA URESTI,NA,Moderador,"¡Gracias, candidatos!, gracias a todos y que pasen una excelente noche.",1
LEÓN KRAUZE,NA,Moderador,"Muy buenas noches, bienvenidos al segundo debate presidencial en la ciudad de Tijuana, Baja California, soy León Krauze, tengo el gusto de acompañar a Yuriria Sierra.",2
YURIRIA SIERRA,NA,Moderador,"El gusto es mío, mi querido León, muy buenas noches candidatos, México y por supuesto el público presente.",2
LEÓN KRAUZE,NA,Moderador,"El tema principal de este encuentro es México en el mundo, por diversas razones este debate cobra una relevancia mayor, tiene lugar en una ciudad emblemática de la frontera con Estados Unidos y cuenta por primera vez en la historia de los debates electorales en nuestro país con público participativo, todos son de Tijuana y seis de ellos harán de viva voz y con libertad absoluta una pregunta que deberán responder directamente los candidatos presidenciales.Hoy, hoy más que nunca nos dirigimos también a los millones de mexicanos que viven en el exterior. El debate abordará tres temas específicos: comercio exterior e inversión; seguridad fronteriza y combate al crimen trasnacional; y derechos de los migrantes. El Instituto Nacional Electoral agradece a la comunidad de la Universidad Autónoma de Baja California, a sus autoridades, y en particular a la vicerrectoría del campus Tijuana su plena disposición para llevar a cabo este debate presidencial. Este encuentro es transmitido a todo el país y a todo el mundo a través de múltiples plataformas de Internet y redes sociales, así como de un amplio número de radiodifusoras y televisoras públicas y privadas de México. A todos muchas gracias.Le damos ahora si la bienvenida al candidato Andrés Manuel López Obrador, de la coalición Juntos Haremos Historia, candidato.",2
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Muy buenas noches.,2
LEÓN KRAUZE,NA,Moderador,"Al candidato José Antonio Meade, candidato de la coalición Todos por México.",2
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches a todos, buenas noches.",2
LEÓN KRAUZE,NA,Moderador,"Candidato Ricardo Anaya, candidato de la coalición Por México al Frente.",2
RICARDO ANAYA,Anaya,Candidato,Muy buenas noches a todas y a todos.,2
LEÓN KRAUZE,NA,Moderador,"Candidato Jaime Rodríguez Calderón, candidato independiente.",2
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Muy buenas noches a todos, a todo México.",2
LEÓN KRAUZE,NA,Moderador,Y por supuesto al público presente. Vamos a conocer las reglas.,2
VOZ EN OFF,NA,Voz en Off,"El público presente lo integran 42 personas elegidas de una muestra representativa de la población de Tijuana realizada aleatoriamente por una empresa especializada. Las y los seleccionados están inscritos en la lista nominal de electores, no han decidido aún su voto y tienen la intención de acudir a las urnas el próximo primero de julio. Cada una de las personas seleccionadas formuló dos preguntas relacionadas con los temas del debate y la moderación escogió las seis preguntas que serán planteadas directamente por los asistentes a los candidatos. En el primer segmento los candidatos responderán en su turno la misma pregunta formulada por una o un ciudadano. Según el orden en el que fueron sorteados los participantes tendrán hasta un minuto para responder la pregunta inicial y posteriormente hasta dos minutos para las preguntas de seguimiento de la moderación. Adicionalmente tendrán derecho a dos réplicas de hasta 30 segundos.",2
YURIRIA SIERRA,NA,Moderador,"Pues así están las reglas de este histórico debate. Y el honor de empezarlo va a ser tuyo, Luis Ángel Amador Pérez, tu pregunta uno para todos los candidatos, por favor de pie y se las haces.",2
ASISTENTE,NA,Público,"Buenas tardes señores candidatos. Yo les tengo una pregunta y es la siguiente: en virtud de la insostenible incertidumbre que vivimos actualmente por la actitud proteccionista y la renegociación del Tratado de Libre Comercio, ¿cuáles serán sus acciones concretas para reorientar la exportación mexicana a otros estados aparte de Estados Unidos, a fin de que no nos afecte tanto la renegociación y la política proteccionista de Estados Unidos?",2
YURIRIA SIERRA,NA,Moderador,"Muchas gracias Luis Ángel. Pues empieza usted contestando, candidato Rodríguez Calderón. Buenas noches.",2
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien. Pues buenas noches, gracias a todos, gracias a Tijuana, gracias a México. Lo primero que tenemos que hacer es destetarnos de los gringos, y ponerlos en su lugar también, hablarle al presidente americano como se le debe de hablar a un presidente. Ser animal a veces es algo que en un comparativo a los humanos nos molesta, pero a veces los humanos hacen más daño con su boca, con el veneno de su boca, entonces el presidente Trump creo que es algo de eso, y tenemos que ver hacia otras partes, fuera de Estados Unidos nosotros tenemos que trabajar mucho Asia, India, Corea, Japón y Sudamérica sobre todo, y hacia el Tratado de Libre Comercio entre los mismos mexicanos, norte de México, sur de México y eso va a potenciar mucho las cosas que los mexicanos quieren de nosotros.",2
YURIRIA SIERRA,NA,Moderador,"Muchas gracias, candidato Rodríguez Calderón.Su turno candidato López Obrador, adelante, muy buenas noches.",2
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sostengo que la mejor política exterior es la interior, que si nos amenazan con construir muros, con militarizar la frontera, en perseguir a nuestros paisanos, lo que tenemos que hacer es fortalecer nuestra economía, que haya trabajo en México para que la gente no tenga necesidad de emigrar. Nosotros vamos a apoyar a los migrantes porque van a buscarse la vida a Estados Unidos, no van por gusto y estamos de acuerdo con el Tratado de Libre Comercio y debemos aprovechar la relación con Estados Unidos, una relación de amistad y de respeto mutuo, es la que yo propongo.",2
YURIRIA SIERRA,NA,Moderador,"Gracias, candidato López Obrador.",2
LEÓN KRAUZE,NA,Moderador,"Candidato a nadie, Luis Ángel quiere saber cuáles serán las acciones concretas para reorientar la exportación mexicana a fin de reducir el impacto económico por la dependencia al TLC.",2
RICARDO ANAYA,Anaya,Candidato,"Luis Ángel, muchas gracias por tu pregunta, creo que haces una pregunta clave. Por un lado, por supuesto, diversificar, pero por el otro tenemos que replantear la relación con Estados Unidos, no perdamos de vista que el 80% de nuestras exportaciones son a Estados Unidos. Dicen que en política no se cometen errores, se comete un error y lo demás son consecuencias.Fue un error histórico inaceptable haber recibido a Donald Trump en los Pinos cuando el señor llevaba un año en plena campaña insultando, dejando, agrediendo a los mexicanos.No se tomaron la molestia ni siquiera de leer los libros de Trump, su filosofía es clara, provocar al oponente, si es débil lo aplasto, si es fuerte, negocio, cuando mi oponente es débil lo aplasto, y se ha dedicado a tratar de aplastar los, no observar una ley de vida básica, ¿quieres que el de enfrente te respete? Empieza por respetarte tú mismo. Voy a ser un presidente que si actúe con dignidad, y yo sí, Luis Ángel, pues a defender el interés nacional.",2
LEÓN KRAUZE,NA,Moderador,"Gracias, candidato.",2
YURIRIA SIERRA,NA,Moderador,"Candidato Meade, Luis Ángel, le recuerdo la pregunta, quiere saber cuáles serán las acciones concretas para reorientar la exportación mexicana con el fin de de reducir el impacto económico por la dependencia del TLC.",2
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches, muy buenas noches, Yuriria, León, muchas felicidades al Santos.Luis Ángel, tenemos oportunidades en muchas partes del mundo y las vamos a aprovechar. Pero antes de hablar de comercio y de inversión, tenemos que hablar de respeto. El presidente Trump hace cuatro días nos volvió a insultar, y cada vez que nos insulta, nuestros migrantes y su vida y su dignidad corren peligro. En mi gobierno no vamos a permitir ningún acuerdo de ningún tipo, en ningún tema, que no esté basado en el respeto. No voy a permitir bajo ninguna circunstancia que se nos falte al respeto jamás, ese es mi compromiso con ustedes.",2
YURIRIA SIERRA,NA,Moderador,"Muchas gracias, candidato Meade.",2
